Team,Game No.,Offensive Rating,Defensive Rating,Overall Rating
1977-78,5,97.57653061224491,70.26476578411406,83.92064819817949
1977-78,6,95.23809523809523,73.4194425560843,84.32876889708976
1977-78,7,96.35102533172495,72.94429708222813,84.64766120697655
1977-78,8,95.19359145527369,73.20261437908498,84.19810291717934
1977-78,9,94.3418844401822,73.98141529664048,84.16164986841133
1977-78,10,94.23575129533678,74.35734013171873,84.29654571352776
1977-78,11,94.56799842550679,75.54865022334434,85.05832432442557
1977-78,12,91.72563962983125,76.77058929536854,84.24811446259989
1977-78,13,92.79893563944785,76.31359466221852,84.55626515083318
1977-78,14,94.38184905077944,77.44733581164807,85.91459243121375
1977-78,15,95.02818326347737,78.26714801444044,86.6476656389589
1977-78,16,94.34982427683155,77.83463506598439,86.09222967140798
1977-78,17,94.64103869653768,78.48984771573603,86.56544320613685
1977-78,18,94.76369821406875,79.25281102647806,87.0082546202734
1977-78,19,95.34990264574505,79.26482303402753,87.30736283988628
1977-78,20,93.31385913664394,79.83512311530534,86.57449112597465
1977-78,21,94.07216494845359,79.95658465991316,87.01437480418338
1977-78,22,94.85641227380015,80.92456939219956,87.89049083299986
1977-78,23,95.26750926541861,80.4679359666572,87.8677226160379
1977-78,24,95.36435951357775,80.0524934383202,87.70842647594898
1977-78,25,95.26325057228385,79.76128245338909,87.51226651283648
1977-78,26,95.26837954718901,80.41928721174003,87.84383337946451
1977-78,27,95.31211650167717,80.30021790008877,87.80616720088297
1977-78,28,95.14601420678768,80.27290448343078,87.70945934510922
1977-78,29,95.15096065873743,80.43985840174737,87.79540953024241
1977-78,30,94.61657916142869,80.28343925779822,87.45000920961346
1977-78,31,94.58879106721065,80.55732371454839,87.57305739087951
1977-78,32,94.95518032103398,80.58984910836762,87.7725147147008
1977-78,33,95.24291497975709,80.90872857712235,88.07582177843972
1977-78,34,95.33010217448258,81.53925486657211,88.43467852052734
1978-79,1,103.17460317460319,77.48538011695908,90.32999164578113
1978-79,2,94.90740740740739,87.27034120734909,91.08887430737823
1978-79,3,91.08989657915672,88.36789900811543,89.72889779363607
1978-79,4,93.82640586797065,88.53118712273643,91.17879649535354
1978-79,5,93.15684315684315,82.08154506437769,87.61919411061042
1978-79,6,91.90727938186252,79.20580700256191,85.55654319221222
1978-79,7,97.27767695099816,85.62407132243686,91.45087413671752
1978-79,8,98.23759791122714,89.4967916244512,93.86719476783918
1978-79,9,98.83551673944685,88.59807460890494,93.7167956741759
1978-79,10,95.10664993726473,88.41463414634147,91.7606420418031
1978-79,11,94.5239718245853,87.41927768476442,90.97162475467486
1978-79,12,93.39525283797728,85.15947060099805,89.27736171948766
1978-79,13,92.47291389469682,85.72854291417165,89.10072840443424
1978-79,14,93.32388879050822,85.15323912644523,89.23856395847673
1978-79,15,93.38296112489661,84.44858546501779,88.9157732949572
1978-79,16,94.10395655546935,84.0582002214139,89.08107838844163
1978-79,17,94.44526300279946,84.33103861119426,89.38815080699686
1978-79,18,95.83333333333334,85.05302378905131,90.44317856119233
1978-79,19,95.88313413014609,84.95634654130288,90.41974033572448
1978-79,20,95.40680754143996,85.06277222649244,90.2347898839662
1978-79,21,94.9199470326231,85.3673419575299,90.1436444950765
1978-79,22,94.49045318610536,84.29453571012468,89.39249444811502
1978-79,23,93.60980413611992,84.23098278734037,88.92039346173014
1978-79,24,93.76628791827375,83.42083158336834,88.59355975082104
1978-79,25,92.8643216080402,84.14485696895923,88.50458928849972
1978-79,26,93.35895162084935,84.401390958768,88.88017128980869
1978-79,27,93.11528559168494,84.4155844155844,88.76543500363468
1978-79,28,93.38214848456761,85.0126534820508,89.1974009833092
1978-79,29,93.73872248285817,85.84570543765369,89.79221396025594
1978-79,30,93.92698440358978,86.39641224059092,90.16169832209036
1979-80,1,87.98283261802572,81.89655172413794,84.93969217108183
1979-80,2,84.42982456140349,81.29175946547885,82.86079201344117
1979-80,3,89.8203592814371,81.12094395280236,85.47065161711973
1979-80,4,92.34752589182969,75.2840909090909,83.8158084004603
1979-80,5,93.82099045888232,75.8527827648115,84.83688661184691
1979-80,6,95.79531931773106,77.11831315892229,86.45681623832667
1979-80,7,94.04761904761905,78.54209445585214,86.2948567517356
1979-80,8,95.69017480409885,83.02411873840444,89.35714677125165
1979-80,9,96.03698811096433,81.33584702396983,88.68641756746709
1979-80,10,96.03586597451627,81.86640945261635,88.95113771356631
1979-80,11,94.9678800856531,79.74851091992059,87.35819550278686
1979-80,12,95.22846744844318,79.4392523364486,87.3338598924459
1979-80,13,95.50457004290244,81.10941669843692,88.30699337066969
1979-80,14,93.84138998795801,83.22925958965212,88.53532478880507
1979-80,15,93.96299902629016,83.71040723981902,88.83670313305458
1979-80,16,93.15589353612167,82.28045546716582,87.71817450164374
1979-80,17,93.58562244301578,82.13063532212469,87.85812888257024
1979-80,18,93.75,82.78562438819746,88.26781219409872
1979-80,19,94.19060052219321,82.47761979989468,88.33411016104395
1979-80,20,94.38049263522713,81.87936191425725,88.12992727474219
1979-80,21,93.74635398436588,83.39226779820841,88.56931089128715
1979-80,22,93.33927378035196,83.81209868198718,88.57568623116957
1979-80,23,92.71207954305055,84.39181916038754,88.55194935171905
1979-80,24,92.28888662524193,84.75100525827408,88.51994594175801
1979-80,25,92.4030702617595,84.76682907427666,88.58494966801808
1979-80,26,92.40970654627539,84.3720491029273,88.39087782460135
1979-80,27,91.65391194742054,85.14967893642039,88.40179544192046
1979-80,28,91.7415191418854,84.64618330577075,88.19385122382808
1979-80,29,92.3774800746142,84.45604580666893,88.41676294064156
1979-80,30,92.82004781139229,84.94808274057722,88.88406527598475
1979-80,31,92.67154693910385,84.44196606388911,88.55675650149648
1979-80,32,92.44454894584214,84.20481834379116,88.32468364481664
1979-80,33,91.88634809693838,84.20973557692308,88.04804183693074
1980-81,1,90.05376344086022,55.30474040632054,72.67925192359039
1980-81,2,94.57755359394703,70.76023391812866,82.66889375603785
1980-81,3,92.24489795918367,75.66539923954373,83.9551485993637
1980-81,4,85.73141486810553,81.29839189994044,83.51490338402299
1980-81,5,85.1569933396765,80.39492242595205,82.77595788281428
1980-81,6,87.0864886408928,84.8686789494316,85.97758379516219
1980-81,7,89.09888626392171,85.03636993418773,87.06762809905473
1980-81,8,90.94790777113579,85.33252353477071,88.14021565295326
1980-81,9,93.37272026714616,87.47622928552023,90.4244747763332
1980-81,10,94.9232585596222,87.80427223050174,91.36376539506196
1980-81,11,93.8306104901118,90.15837104072398,91.99449076541788
1980-81,12,92.31962761830879,90.65934065934066,91.48948413882472
1980-81,13,92.3589836006488,91.64139499620924,92.00018929842902
1980-81,14,91.27449338469269,92.32804232804233,91.8012678563675
1980-81,15,91.3858868404323,91.65275459098497,91.51932071570863
1980-81,16,92.01892263085611,91.33694958519465,91.67793610802538
1980-81,17,93.25859056493884,90.4303340355101,91.84446230022448
1980-81,18,93.27366801845896,90.53527629490695,91.90447215668296
1980-81,19,91.7120467525568,90.48009848173986,91.09607261714834
1980-81,20,92.32613908872904,89.91596638655463,91.12105273764183
1980-81,21,91.87749667110522,89.61796080377079,90.747728737438
1980-81,22,90.91962010655551,89.67780429594274,90.29871220124912
1980-81,23,91.07764917406452,90.15538033395177,90.61651475400814
1980-81,24,91.24986612402274,88.82884869872079,90.03935741137177
1980-81,25,91.15448504983391,88.76212815865232,89.95830660424312
1980-81,26,91.05447276361822,88.71794871794873,89.88621074078347
1980-81,27,90.61473033056257,88.27599841834719,89.44536437445487
1980-81,28,90.96834264432032,87.73174423004163,89.35004343718097
1980-81,29,91.52007216959858,87.93166453498996,89.72586835229427
1980-81,30,91.46394628999914,88.69042355645946,90.07718492322931
1981-82,1,90.36144578313254,83.51648351648352,86.93896464980803
1981-82,2,92.3913043478261,81.56911581569116,86.98021008175863
1981-82,3,91.47424511545293,87.73424190800682,89.60424351172988
1981-82,4,94.1981747066493,91.41104294478528,92.80460882571728
1981-82,5,92.12640599892877,94.0040650406504,93.06523551978958
1981-82,6,96.23430962343097,92.58456201214223,94.4094358177866
1981-82,7,96.78060413354531,95.87471352177234,96.32765882765882
1981-82,8,97.62486901851204,98.69100930072338,98.15793915961771
1981-82,9,92.62025694651928,98.4182776801406,95.51926731332995
1981-82,10,94.36505796710705,98.23103725542751,96.29804761126728
1981-82,11,92.88238263503281,97.47793190416144,95.18015726959712
1981-82,12,90.03215434083602,95.78146611341634,92.90681022712619
1981-82,13,90.47212134159368,96.29314017895186,93.38263076027278
1981-82,14,89.90567930965283,95.08589692369158,92.4957881166722
1981-82,15,89.75332068311197,91.76340519624104,90.7583629396765
1981-82,16,90.21215903013015,90.24098444710307,90.22657173861661
1981-82,17,90.02006018054163,91.26792331238924,90.64399174646545
1981-82,18,90.19419033862944,90.88806660499539,90.54112847181241
1981-82,19,89.7513644633111,91.585241359195,90.66830291125305
1981-82,20,89.43380040034316,90.76455136181391,90.09917588107854
1981-82,21,88.78816157845621,91.35367762128325,90.07091959986974
1981-82,22,88.4057971014493,92.32584130137838,90.36581920141384
1981-82,23,89.00683260126893,93.97227245328511,91.48955252727703
1981-82,24,89.41244909831299,95.0675753725309,92.24001223542194
1981-82,25,89.62369182810065,95.32793252691155,92.4758121775061
1981-82,26,89.30093776641091,95.84086799276672,92.57090287958881
1981-82,27,88.25030624744794,96.2223806129722,92.23634343021007
1982-83,1,93.33333333333331,98.48484848484851,95.9090909090909
1982-83,2,92.37726098191213,91.18086696562033,91.77906397376623
1982-83,3,90.8703071672355,96.72762271414821,93.79896494069186
1982-83,4,93.1758530183727,97.81073446327684,95.49329374082478
1982-83,5,92.45562130177515,99.16710046850599,95.81136088514057
1982-83,6,89.86928104575162,96.60297239915074,93.23612672245119
1982-83,7,88.7438249823571,93.50036310820626,91.12209404528167
1982-83,8,89.5909645909646,87.47640025173065,88.53368242134763
1982-83,9,91.4864864864865,88.5387618516453,90.0126241690659
1982-83,10,89.89031950405342,89.20595533498759,89.54813741952051
1982-83,11,88.76061860161185,87.82412626832019,88.29237243496601
1982-83,12,88.46306592533757,89.6168108776267,89.03993840148215
1982-83,13,88.94756008739986,87.52101625256866,88.23428816998427
1982-83,14,89.11473206786495,87.69678302532512,88.40575754659503
1982-83,15,89.01869158878505,90.37013299150777,89.6944122901464
1982-83,16,89.62886900396067,92.17076482124001,90.89981691260034
1982-83,17,91.44399833864044,92.94781382228491,92.19590608046268
1982-83,18,91.96463913445044,93.39991901741126,92.68227907593085
1982-83,19,91.5964303420922,94.35994930291508,92.97818982250365
1982-83,20,91.0914454277286,94.10485624546993,92.59815083659927
1982-83,21,91.62832454270003,93.65351629502572,92.64092041886288
1982-83,22,91.99237368922782,94.38444924406048,93.18841146664414
1982-83,23,92.02175883952854,95.00565203987257,93.51370543970056
1982-83,24,91.80233118196705,95.69966542019287,93.75099830107996
1982-83,25,92.82155379221257,95.71955022205424,94.2705520071334
1982-83,26,92.84829173305008,96.36198271941791,94.60513722623399
1982-83,27,92.67608029942156,96.96916608269098,94.82262319105627
1982-83,28,91.85009410031911,97.44127516778524,94.64568463405217
1983-84,1,94.20289855072464,84.0909090909091,89.14690382081687
1983-84,2,92.96482412060301,88.0893300248139,90.52707707270847
1983-84,3,88.08290155440415,77.82839787395596,82.95564971418005
1983-84,4,91.43327841845141,76.64027149321268,84.03677495583204
1983-84,5,92.51003120820329,74.78728168383341,83.64865644601835
1983-84,6,91.32841328413284,73.92273402674591,82.62557365543938
1983-84,7,90.19183168316832,70.65048241518829,80.4211570491783
1983-84,8,89.79924036896365,71.60359379254015,80.7014170807519
1983-84,9,90.30837004405286,74.47595561035757,82.39216282720523
1983-84,10,90.60251798561151,75.50146495379761,83.05199146970456
1983-84,11,93.06190278354799,77.76162790697676,85.41176534526238
1983-84,12,93.2251368182676,77.27960650775636,85.25237166301198
1983-84,13,93.93725766654917,78.02352115148324,85.9803894090162
1983-84,14,94.04645076872752,78.00261096605745,86.02453086739249
1983-84,15,93.80273048013498,78.20197044334977,86.00235046174237
1983-84,16,93.59676954139026,79.77021524141944,86.68349239140485
1983-84,17,92.03778677462888,81.64660831509848,86.84219754486368
1983-84,18,91.6454081632653,82.23429014740108,86.93984915533319
1983-84,19,91.30959565479783,82.80215739151753,87.05587652315768
1983-84,20,90.86726478030826,82.98171589310832,86.92449033670829
1983-84,21,91.38771890933275,83.72827804107426,87.5579984752035
1983-84,22,91.1214953271028,83.11855670103093,87.12002601406687
1983-84,23,92.4597889560496,84.71588552467855,88.58783724036408
1983-84,24,93.25455440669622,85.31135167345317,89.28295304007469
1983-84,25,93.96420411271897,85.54332216371469,89.75376313821684
1983-84,26,94.26078971533519,85.84323477940498,90.05201224737009
1983-84,27,94.52249688778235,86.17002316877561,90.34626002827898
1983-84,28,94.06794274874981,85.89168678854776,89.9798147686488
1983-84,29,93.66185498589684,86.32343124165554,89.99264311377618
1983-84,30,93.4904153354633,86.82922916499558,90.15982225022944
1983-84,31,93.23215115378662,86.73310495172842,89.98262805275752
1983-84,32,93.41402902037443,86.55291641611544,89.98347271824494
1983-84,33,92.84776902887141,86.86595526969741,89.85686214928441
1983-84,34,93.22395056467082,87.52493587916784,90.37444322191934
1984-85,1,121.85929648241202,83.33333333333333,102.59631490787268
1984-85,2,116.66666666666666,79.22077922077922,97.94372294372295
1984-85,3,105.53191489361701,71.67235494880548,88.60213492121125
1984-85,4,105.48780487804876,71.5166461159063,88.50222549697753
1984-85,5,104.07461953853705,73.29713721618954,88.6858783773633
1984-85,6,101.15953618552578,73.57723577235772,87.36838597894175
1984-85,7,102.71796681962584,74.05424696645254,88.3861068930392
1984-85,8,104.41129800063472,75.4746835443038,89.94299077246926
1984-85,9,106.0474537037037,78.43696520250998,92.24220945310684
1984-85,10,105.06863780359028,79.002079002079,92.03535840283465
1984-85,11,105.01902949571836,79.05278039585296,92.03590494578566
1984-85,12,105.34452296819788,79.3478260869565,92.34617452757719
1984-85,13,103.43442458324965,80.3500397772474,91.89223218024853
1984-85,14,102.43500549249359,81.90597667638482,92.1704910844392
1984-85,15,101.86585980837113,82.50211327134403,92.18398653985759
1984-85,16,101.51922772590598,84.52380952380952,93.02151862485775
1984-85,17,102.58121940364929,84.34974283614987,93.46548111989958
1984-85,18,102.11366181410972,84.17415342087075,93.14390761749024
1984-85,19,101.50177842181529,83.30056363874687,92.40117103028108
1984-85,20,100.76259532441554,84.65873512836566,92.7106652263906
1984-85,21,101.06958298281454,85.17046139019394,93.12002218650423
1984-85,22,101.20811488488715,83.81965899988556,92.51388694238636
1984-85,23,101.5308911973756,83.63319158216115,92.58204138976836
1984-85,24,100.83901415836391,84.00544673719492,92.42223044777941
1984-85,25,100.3226456946965,83.91256170041301,92.11760369755476
1984-85,26,100.7947276603993,83.68623676612124,92.24048221326026
1984-85,27,99.56429034949475,84.39992580226301,91.98210807587888
1984-85,28,99.92843084630525,84.60713327969962,92.26778206300244
1984-85,29,99.31714063445416,85.09902274496237,92.20808168970827
1984-85,30,99.172517552658,84.6891948268669,91.93085618976244
1984-85,31,98.40682330222079,84.84555206065004,91.62618768143541
1985-86,1,92.17877094972067,83.33333333333333,87.756052141527
1985-86,2,93.4844192634561,79.45205479452055,86.46823702898833
1985-86,3,107.56972111553786,82.09647495361781,94.83309803457783
1985-86,4,105.59234731420165,87.27915194346289,96.43574962883227
1985-86,5,109.6009253903991,91.83673469387755,100.71883004213832
